MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,TOTAL,위도,경도
서울특별시,11,11410,서대문구,1,37.57202516036267,126.91095943505702
서울특별시,11,11410,서대문구,1,37.570254481014565,126.91438114551482
서울특별시,11,11410,서대문구,1,37.58112751490328,126.92101694353067
서울특별시,11,11410,서대문구,1,37.557765204483175,126.92814351671319
서울특별시,11,11410,서대문구,1,37.56584275070446,126.92463241317091
서울특별시,11,11410,서대문구,1,37.56678466105989,126.92914675813131
서울특별시,11,11410,서대문구,1,37.57127903737673,126.92795063900138
서울특별시,11,11410,서대문구,1,37.574002256740506,126.93017589107369
서울특별시,11,11410,서대문구,1,37.56419370911748,126.94163481712431
서울특별시,11,11410,서대문구,1,37.56867810271652,126.9393076454112
서울특별시,11,11410,서대문구,1,37.59752788167732,126.94116472425077
서울특별시,11,11410,서대문구,1,37.57509535759039,126.95166993527745
서울특별시,11,11410,서대문구,1,37.56615586909266,126.95971838099317
서울특별시,11,11410,서대문구,1,37.56796765872439,126.96082526580862
서울특별시,11,11440,마포구,1,37.579901878180934,126.88593777313372
서울특별시,11,11440,마포구,1,37.58436374661109,126.88134265366496
서울특별시,11,11440,마포구,1,37.54947098924791,126.90789131770363
서울특별시,11,11440,마포구,1,37.55391282271011,126.90103618532069
서울특별시,11,11440,마포구,1,37.55219457521732,126.9101152011373
서울특별시,11,11440,마포구,1,37.55850100312092,126.91002370645751
서울특별시,11,11440,마포구,1,37.54957470071749,126.91920677446441
서울특별시,11,11440,마포구,3,37.55589146425469,126.9202476986704
서울특별시,11,11440,마포구,1,37.550475622526875,126.91919381620151
서울특별시,11,11440,마포구,2,37.55588115039359,126.91911605449744
서울특별시,11,11440,마포구,1,37.550465299827785,126.91806225430315
서울특별시,11,11440,마포구,1,37.55590176727279,126.92137934342028
서울특별시,11,11440,마포구,1,37.561317588192495,126.92243345140714
서울특별시,11,11440,마포구,1,37.5649212711752,126.92238174832943
서울특별시,11,11440,마포구,1,37.54786526414882,126.92941640468764
서울특별시,11,11440,마포구,1,37.539868649499844,126.94197736903347
서울특별시,11,11440,마포구,1,37.5443934726527,126.94417692236293
서울특별시,11,11440,마포구,1,37.553473058146366,126.95197166627733
서울특별시,11,11470,양천구,1,37.52440163467258,126.83019496199739
서울특별시,11,11470,양천구,1,37.5379150925673,126.82998464419028
서울특별시,11,11470,양천구,1,37.51930451613617,126.86194875439234
서울특별시,11,11470,양천구,1,37.52742354822158,126.86295723227633
서울특별시,11,11470,양천구,1,37.54274981756794,126.86385695964938
서울특별시,11,11470,양천구,1,37.52567584527618,126.86864031288724
서울특별시,11,11470,양천구,2,37.53923259927181,126.87296241605694
서울특별시,11,11500,강서구,1,37.57012145132451,126.80684287520792
서울특별시,11,11500,강서구,1,37.57016696022037,126.81137014142337
서울특별시,11,11500,강서구,1,37.57550392677406,126.80449314548952
서울특별시,11,11500,강서구,1,37.57735129809935,126.80899213743673
서울특별시,11,11500,강서구,1,37.58911955743283,126.81446672193205
서울특별시,11,11500,강서구,1,37.54234111057547,126.82199468174178
서울특별시,11,11500,강서구,1,37.55221712280493,126.8184446263902
서울특별시,11,11500,강서구,1,37.54520019433528,126.83779255888233
서울특별시,11,11500,강서구,1,37.53088518944746,126.84819657407428
서울특별시,11,11500,강서구,1,37.54794718770483,126.84227672150094
서울특별시,11,11500,강서구,1,37.53099457525477,126.85950899348911
서울특별시,11,11500,강서구,1,37.557999895662476,126.85683539561342
서울특별시,11,11530,구로구,1,37.490055358547984,126.81942099378507
서울특별시,11,11530,구로구,1,37.49926530826697,126.8396332260982
서울특별시,11,11530,구로구,1,37.505615831659014,126.84405939660397
서울특별시,11,11530,구로구,1,37.504703894884294,126.84294239473432
서울특별시,11,11530,구로구,1,37.49940826306461,126.85433313633199
서울특별시,11,11530,구로구,1,37.49970995484657,126.88599483040068
서울특별시,11,11530,구로구,1,37.51228021576374,126.88128421225478
서울특별시,11,11530,구로구,1,37.508708511101,126.8847305453752
서울특별시,11,11530,구로구,2,37.486270207069566,126.89410883990439
서울특별시,11,11545,금천구,1,37.469947648002965,126.88304351443952
서울특별시,11,11545,금천구,1,37.47983647693847,126.88063561177192
서울특별시,11,11545,금천구,1,37.43854205763647,126.89706892177088
서울특별시,11,11545,금천구,1,37.451176089307495,126.8991445768218
서울특별시,11,11545,금천구,1,37.456560675383024,126.89680537474179
서울특별시,11,11545,금천구,1,37.460143348804955,126.89449225518078
서울특별시,11,11545,금천구,1,37.479009976601716,126.88856229074037
서울특별시,11,11560,영등포구,1,37.520367084968775,126.87890143570299
서울특별시,11,11560,영등포구,1,37.516795462485724,126.88234826235491
서울특별시,11,11560,영등포구,1,37.518629233867365,126.88571469250068
서울특별시,11,11560,영등포구,1,37.52488234658434,126.87996544413602
서울특별시,11,11560,영등포구,1,37.51957258687689,126.89022567914058
서울특별시,11,11560,영등포구,1,37.530383590014594,126.89006612812418
서울특별시,11,11560,영등포구,1,37.52946146971261,126.88781696045453
서울특별시,11,11560,영등포구,1,37.531305668214834,126.89231535197274
서울특별시,11,11560,영등포구,1,37.53135838413202,126.89797167135514
서울특별시,11,11560,영등포구,1,37.537633204684006,126.89448514386572
서울특별시,11,11560,영등포구,1,37.54031482724339,126.89218259376558
서울특별시,11,11560,영등포구,1,37.51698562873751,126.90270706972979
서울특별시,11,11560,영등포구,1,37.51609516829748,126.90385124737668
서울특별시,11,11560,영등포구,1,37.530488964271285,126.90137863381094
서울특별시,11,11560,영등포구,1,37.51618883538956,126.91403060534039
서울특별시,11,11560,영등포구,1,37.515308604981755,126.91630566839112
서울특별시,11,11560,영등포구,1,37.517990686053395,126.91400459500984
서울특별시,11,11560,영등포구,1,37.52526006057185,126.92068761090945
서울특별시,11,11560,영등포구,1,37.533306393705104,126.913783413595
서울특별시,11,11560,영등포구,1,37.52261886341651,126.9275132511102
서울특별시,11,11560,영등포구,1,37.53069646290575,126.92400382052965
서울특별시,11,11590,동작구,2,37.48910912853542,126.90876731492494
서울특별시,11,11590,동작구,1,37.49101447780703,126.92004782429652
서울특별시,11,11590,동작구,1,37.50467157170338,126.93568616916993
서울특별시,11,11590,동작구,2,37.51551317436439,126.93892638233598
서울특별시,11,11590,동작구,1,37.48693261112796,126.967597997648
서울특별시,11,11590,동작구,1,37.486922766418736,126.96646737719215
서울특별시,11,11590,동작구,1,37.50940683351239,126.96163434137758
서울특별시,11,11590,동작구,1,37.512079898241744,126.95820405877106
서울특별시,11,11590,동작구,1,37.477110285875575,126.9779080534058
서울특별시,11,11590,동작구,1,37.47976430278716,126.97221881392767
서울특별시,11,11590,동작구,1,37.49509997346847,126.97427131429004
서울특별시,11,11620,관악구,1,37.47130647160996,126.93276600185916
서울특별시,11,11620,관악구,1,37.46765174528263,126.9271654465352
서울특별시,11,11620,관악구,1,37.473988923069655,126.93046689754458
서울특별시,11,11620,관악구,1,37.47400928468706,126.93272772329176
서울특별시,11,11620,관악구,2,37.48836301983512,126.92573971157829
서울특별시,11,11620,관악구,1,37.487492757385766,126.92914440538169
서울특별시,11,11620,관악구,1,37.49284717886566,126.92341406105426
서울특별시,11,11620,관악구,1,37.47583147904965,126.93496308368105
서울특별시,11,11620,관악구,1,37.48586283987542,126.94839010325693
서울특별시,11,11620,관악구,1,37.4787251905465,126.9564041453461
서울특별시,11,11620,관악구,1,37.483149991314235,126.94729727731611
서울특별시,11,11620,관악구,1,37.476962992233176,126.9609509690811
서울특별시,11,11650,서초구,1,37.4906537001408,126.98111674259624
서울특별시,11,11650,서초구,1,37.484424377625295,126.99024674750248
서울특별시,11,11650,서초구,1,37.49884921733895,126.99118429450434
서울특별시,11,11650,서초구,1,37.50067032966449,126.99342182700933
서울특별시,11,11650,서초구,1,37.48272765394179,127.00270712920418
서울특별시,11,11650,서초구,1,37.491746706530414,127.00371856643076
서울특별시,11,11650,서초구,1,37.49181290433802,127.01163352070166
서울특별시,11,11650,서초구,1,37.48820907523815,127.01168080003463
서울특별시,11,11650,서초구,2,37.50716676272711,127.01595625567293
서울특별시,11,11650,서초구,1,37.50798284964114,127.00576589561543
서울특별시,11,11650,서초구,1,37.50711972316168,127.01030154927841
서울특별시,11,11650,서초구,1,37.51525657037465,127.01358812620418
서울특별시,11,11650,서초구,1,37.48832130927512,127.02524870137518
서울특별시,11,11650,서초구,1,37.490113937438906,127.02409470009282
